Date,USD_to_NPR
,USDNPR=X
2024-06-10,132.79501342773438
2024-06-11,131.95184326171875
2024-06-12,132.2921600341797
2024-06-13,132.0277862548828
2024-06-14,132.3810272216797
2024-06-17,131.9641571044922
2024-06-18,132.03482055664062
2024-06-19,131.85630798339844
2024-06-20,131.89964294433594
2024-06-21,132.2218475341797
2024-06-24,131.88607788085938
2024-06-25,131.97357177734375
2024-06-26,131.95391845703125
2024-06-27,132.19998168945312
2024-06-28,132.02293395996094
2024-07-01,131.6068878173828
2024-07-02,131.99916076660156
2024-07-03,131.9493408203125
2024-07-04,132.01995849609375
2024-07-05,132.0238800048828
2024-07-08,132.1812286376953
2024-07-09,132.0482177734375
2024-07-10,132.09487915039062
2024-07-11,132.04164123535156
2024-07-12,132.10025024414062
2024-07-15,131.70169067382812
2024-07-16,132.15478515625
2024-07-17,132.1588592529297
2024-07-18,132.06715393066406
2024-07-19,132.28858947753906
2024-07-22,132.27842712402344
2024-07-23,132.35037231445312
2024-07-24,132.30972290039062
2024-07-25,132.39453125
2024-07-26,132.3855438232422
2024-07-29,132.412353515625
2024-07-30,132.44590759277344
2024-07-31,132.43177795410156
2024-08-01,132.25152587890625
2024-08-02,132.30189514160156
2024-08-05,131.20907592773438
2024-08-06,132.82943725585938
2024-08-07,132.80450439453125
2024-08-08,132.7667694091797
2024-08-09,132.76315307617188
2024-08-12,132.62319946289062
2024-08-13,132.8155059814453
2024-08-14,132.7661895751953
2024-08-15,132.76629638671875
2024-08-16,133.23399353027344
2024-08-19,132.26858520507812
2024-08-20,132.66250610351562
2024-08-21,132.19503784179688
2024-08-22,132.8172607421875
2024-08-23,132.8855743408203
2024-08-26,131.63937377929688
2024-08-27,132.71653747558594
2024-08-28,132.74566650390625
2024-08-29,132.78489685058594
2024-08-30,132.97640991210938
2024-09-02,132.82957458496094
2024-09-03,132.77520751953125
2024-09-04,132.76861572265625
2024-09-05,132.5274200439453
2024-09-06,132.6805877685547
2024-09-09,133.04429626464844
2024-09-10,132.8238067626953
2024-09-11,132.87152099609375
2024-09-12,132.7400665283203
2024-09-13,132.85647583007812
2024-09-16,132.88668823242188
2024-09-17,132.55857849121094
2024-09-18,132.6127471923828
2024-09-19,132.48817443847656
2024-09-20,132.50314331054688
2024-09-23,131.99749755859375
2024-09-24,132.03994750976562
2024-09-25,132.37179565429688
2024-09-26,132.9644012451172
2024-09-27,132.41485595703125
2024-09-30,132.345703125
2024-10-01,132.16140747070312
2024-10-02,132.46633911132812
2024-10-03,132.79861450195312
2024-10-04,132.8934783935547
2024-10-07,133.26292419433594
2024-10-08,132.7329864501953
2024-10-09,132.74359130859375
2024-10-10,132.845703125
2024-10-11,132.8236541748047
2024-10-14,132.74761962890625
2024-10-15,132.989013671875
2024-10-16,132.91807556152344
2024-10-17,132.84857177734375
2024-10-18,132.9146270751953
2024-10-21,132.5536651611328
2024-10-22,132.92559814453125
2024-10-23,132.9666748046875
2024-10-24,133.04977416992188
2024-10-25,132.952392578125
2024-10-28,133.2163848876953
2024-10-29,132.87515258789062
2024-10-30,132.9415740966797
2024-10-31,133.08029174804688
2024-11-01,132.77175903320312
2024-11-04,132.84014892578125
2024-11-05,133.09555053710938
2024-11-06,133.05038452148438
2024-11-07,133.7958984375
2024-11-08,133.3844451904297
2024-11-11,134.1614227294922
2024-11-12,133.4033660888672
2024-11-13,133.5915069580078
2024-11-14,133.4358673095703
2024-11-15,133.41943359375
2024-11-18,133.22080993652344
2024-11-19,132.79196166992188
2024-11-20,133.52586364746094
2024-11-21,133.38291931152344
2024-11-22,133.56146240234375
2024-11-25,133.384521484375
2024-11-26,133.2967529296875
2024-11-27,132.85977172851562
2024-11-28,133.5414581298828
2024-11-29,133.474853515625
2024-12-02,133.47413635253906
2024-12-03,133.86209106445312
2024-12-04,133.94479370117188
2024-12-05,134.0738067626953
2024-12-06,133.96554565429688
2024-12-09,134.0371551513672
2024-12-10,134.16244506835938
2024-12-11,134.2289276123047
2024-12-12,133.9010772705078
2024-12-13,134.2213134765625
2024-12-16,133.76255798339844
2024-12-17,134.1147918701172
2024-12-18,134.29505920410156
2024-12-19,134.35430908203125
2024-12-20,134.53314208984375
2024-12-23,133.85153198242188
2024-12-24,134.78985595703125
2024-12-25,134.4783935546875
2024-12-26,134.4783935546875
2024-12-27,134.34471130371094
2024-12-30,135.4184112548828
2024-12-31,135.15675354003906
2025-01-02,135.15675354003906
2025-01-03,135.61929321289062
2025-01-06,135.42198181152344
2025-01-07,135.64794921875
2025-01-08,135.56283569335938
2025-01-09,135.8711700439453
2025-01-10,135.6792755126953
2025-01-13,136.64602661132812
2025-01-14,137.14280700683594
2025-01-15,136.96995544433594
2025-01-16,136.6092071533203
2025-01-17,136.90536499023438
2025-01-20,136.85702514648438
2025-01-21,136.8324737548828
2025-01-22,136.8391571044922
2025-01-23,136.72828674316406
2025-01-24,136.67515563964844
2025-01-27,136.0620574951172
2025-01-28,136.392822265625
2025-01-29,136.90811157226562
2025-01-30,137.00022888183594
2025-01-31,136.8411407470703
2025-02-03,139.04063415527344
2025-02-04,136.48989868164062
2025-02-05,137.76385498046875
2025-02-06,138.314208984375
2025-02-07,138.46978759765625
2025-02-10,138.95022583007812
2025-02-11,138.3561248779297
2025-02-12,137.05064392089844
2025-02-13,137.34329223632812
2025-02-14,137.62649536132812
2025-02-17,136.68905639648438
2025-02-18,137.32260131835938
2025-02-19,137.5233154296875
2025-02-20,137.25051879882812
2025-02-21,136.90188598632812
2025-02-24,136.58401489257812
2025-02-25,137.02154541015625
2025-02-26,137.7210693359375
2025-02-27,137.82470703125
2025-02-28,137.74732971191406
2025-03-03,138.52305603027344
2025-03-04,137.92349243164062
2025-03-05,137.9575958251953
