Date,commodity_x,average_price,unit,supply_Volume,temperature_avg,precipitation,wind_speed,air_pressure,rainfall_mm,USD_to_NPR,diesel
2022-06-17,Tomato_Big,103.6842105263158,के.जी.,4377.789473684211,22.63157894736842,0.0,7.842105263157896,1007.778947368421,0.0,123.34631578947368,163.0
2022-06-18,Tomato_Big,100.78947368421052,के.जी.,4418.526315789473,22.621052631578948,0.0,7.994736842105263,1007.6526315789473,0.0,123.39421052631579,163.0
2022-06-19,Tomato_Big,97.89473684210526,के.जी.,4459.263157894737,22.610526315789475,0.0,8.147368421052633,1007.5263157894736,0.0,123.44210526315788,163.0
2022-06-20,Tomato_Big,95.0,के.जी.,4500.0,22.6,0.0,8.3,1007.4,0.0,123.49,163.0
2022-06-21,Tomato_Big,86.67,के.जी.,14450.0,22.0,25.4,5.9,1007.2,0.0,123.24,163.0
2022-06-22,Tomato_Big,86.39166666666667,के.जी.,12041.666666666666,22.2,23.45,5.833333333333334,1007.7666666666667,0.0,123.30666666666666,163.0
2022-06-23,Tomato_Big,86.11333333333333,के.जी.,9633.333333333332,22.4,21.5,5.766666666666667,1008.3333333333334,0.0,123.37333333333333,163.0
2022-06-24,Tomato_Big,85.83500000000001,के.जी.,7225.0,22.6,19.549999999999997,5.7,1008.9000000000001,0.0,123.44,163.0
2022-06-25,Tomato_Big,85.55666666666667,के.जी.,4816.666666666666,22.8,17.599999999999998,5.633333333333334,1009.4666666666667,0.0,123.50666666666666,163.0
2022-06-26,Tomato_Big,85.27833333333334,के.जी.,2408.333333333332,23.0,15.649999999999999,5.566666666666666,1010.0333333333333,0.0,123.57333333333334,163.0
2022-06-27,Tomato_Big,85.0,के.जी.,0.0,23.2,13.7,5.5,1010.6,0.0,123.64,163.0
2022-06-28,Tomato_Big,88.89,के.जी.,1558.3333333333333,23.2,9.933333333333334,6.233333333333333,1009.9666666666667,0.0,123.98666666666666,163.0
2022-06-29,Tomato_Big,92.78,के.जी.,3116.6666666666665,23.2,6.166666666666667,6.966666666666667,1009.3333333333334,0.0,124.33333333333334,163.0
